order_date,customer_id,product_id,product_category_x,revenue,quantity,region,customer_acquisition_channel,product_name,product_category_y,cost_price,list_price,supplier,launch_date,signup_date,age_group,gender,city,customer_type,loyalty_tier,profit_amount,profit_margin,tenure_days,product_age,product_age_days
2023-12-05,C0291,P0084,Monitors,3086.76,2,West Midlands,Referral,Grow Networkin,Networking,57.43,81.94,ByteWare,2019-12-13,2020-10-13,56-65,Female,Cardiff,New,Gold,2971.9,96.27894620896991,1935,1453,1453
2023-08-08,C2209,P0080,Tablets,1033.86,2,South West,Organic,Response Laptop,Laptops,560.75,730.29,TechCorp,2019-12-22,2021-02-09,36-45,Female,Manchester,Returning,Silver,-87.6400000000001,-8.476969802487774,1816,1325,1325
2024-04-29,C1668,P0049,Tablets,644.56,2,South East,Organic,Hundred Laptop,Laptops,722.45,811.71,TechCorp,2021-04-18,2022-09-22,36-45,Female,London,New,Silver,-800.3400000000001,-124.168424972074,1226,1107,1107
2024-03-17,C1452,P0099,Networking,659.2,4,North East,Paid,Brother Accessorie,Accessories,762.0,1120.37,ByteWare,2022-02-01,2022-02-02,18-25,Male,Cardiff,New,Silver,-2388.8,-362.37864077669906,1458,775,775
2023-02-25,C2759,P0095,Smartphones,174.85,1,London,Paid,Notice Monitor,Monitors,190.69,219.48,ByteWare,2023-07-06,2022-12-20,18-25,Male,Leeds,Returning,Silver,-15.840000000000003,-9.059193594509582,1137,-131,-131
2023-12-14,C0448,P0059,Accessories,1588.32,2,Scotland,Organic,Under Accessorie,Accessories,314.62,377.52,Nova Electronics,2021-09-04,2023-01-18,26-35,Male,Newcastle,New,Bronze,959.0799999999999,60.383298075954464,1108,831,831
2024-04-04,C0575,P0079,Tablets,7054.04,4,North West,Organic,On Laptop,Laptops,640.1,848.26,Quantum Supplies,2019-02-05,2021-03-23,26-35,Female,Bristol,Returning,Bronze,4493.639999999999,63.70306944672839,1774,1885,1885
2023-09-13,C0309,P0081,Smartphones,7048.48,4,South East,Organic,Rest Smartphone,Smartphones,886.82,1287.4,Digitex,2023-07-27,2021-02-22,46-55,Male,Glasgow,Returning,Silver,3501.1999999999994,49.67312101332485,1803,48,48
2023-01-16,C0383,P0093,Accessories,3608.5,2,North West,Paid,Decide Accessorie,Accessories,59.19,66.89,ByteWare,2020-04-19,2020-11-01,36-45,Female,Southampton,New,Bronze,3490.12,96.71941249826797,1916,1002,1002
2024-05-07,C0876,P0018,Accessories,954.4,4,London,Organic,Grow Monitor,Monitors,212.58,295.84,FutureTek,2021-05-13,2022-01-03,26-35,Male,Birmingham,Returning,Bronze,104.07999999999993,10.90528080469404,1488,1090,1090
2023-01-03,C1600,P0020,Laptops,4418.94,3,South West,Organic,Source Networkin,Networking,579.1,795.59,FutureTek,2021-11-11,2023-07-14,18-25,Female,Cardiff,Returning,Silver,2681.6399999999994,60.68514168556259,931,418,418
2024-05-13,C0635,P0010,Networking,2835.16,2,West Midlands,Organic,Mouth Monitor,Monitors,816.77,1136.86,Digitex,2024-02-14,2024-01-02,56-65,Male,Leicester,New,Bronze,1201.62,42.38279321096516,759,89,89
2023-03-01,C2373,P0025,Tablets,1175.84,1,Wales,Organic,Surface Smartphone,Smartphones,583.3,702.93,FutureTek,2019-05-15,2024-06-16,46-55,Male,Glasgow,Returning,Silver,592.54,50.39291060008164,593,1386,1386
2024-05-03,C2060,P0013,Laptops,3059.34,2,London,Email,Kind Tablet,Tablets,232.67,262.41,ByteWare,2020-11-15,2022-10-04,46-55,Male,Newcastle,New,Bronze,2594.0,84.78952976785841,1214,1265,1265
2023-03-24,C0762,P0080,Tablets,516.93,1,South East,Referral,Response Laptop,Laptops,560.75,730.29,TechCorp,2019-12-22,2024-01-18,26-35,Female,Southampton,Returning,Silver,-43.82000000000005,-8.476969802487774,743,1188,1188
2023-08-29,C1654,P0031,Networking,1676.52,1,Scotland,Referral,Present Laptop,Laptops,734.69,1008.5,FutureTek,2022-01-28,2022-03-17,46-55,Male,London,New,Gold,941.8299999999999,56.17767757020494,1415,578,578
2023-02-10,C2537,P0061,Monitors,1728.52,1,North East,Referral,Individual Laptop,Laptops,669.54,881.27,TechCorp,2024-06-20,2023-12-28,26-35,Female,Sheffield,New,Silver,1058.98,61.265128549279154,764,-496,-496
2024-06-19,C1296,P0028,Tablets,5913.54,3,Scotland,Referral,Win Laptop,Laptops,195.2,227.21,TechCorp,2022-03-22,2021-06-15,46-55,Prefer not to say,Nottingham,New,Bronze,5327.9400000000005,90.0973021236011,1690,820,820
